city,total_funding,total_deals,average_funding
Bengaluru,18506066863,853,31260248.079391893
Mumbai,4939225015,573,12165578.854679802
Gurugram,3872428657.54,342,16001771.312148761
"New Delhi",3084816875,428,12694719.650205761
Noida,1263164000,94,22556500
Chennai,718767000,98,9583560
Pune,633082000,105,8916647.887323944
"Menlo Park",450000000,1,450000000
Hyderabad,402676230,102,5441570.675675675
California,300000000,1,300000000
Kormangala,284000000,2,142000000
Delhi,275454640,36,10594409.23076923
Faridabad,252000000,3,126000000
India/Singapore,226000000,1,226000000
Tulangan,200000000,1,200000000
"San Francisco",187000000,2,93500000
Jaipur,152735000,30,10909642.857142856
"San Jose,",135000000,1,135000000
Ahmedabad,119980811,41,4137269.3448275863
"Santa Monica",110000000,1,110000000
Singapore,82350000,8,13725000
"Pune / US",68500000,4,17125000
"New York",52000000,1,52000000
India/US,51500000,2,25750000
"Palo Alto",51000000,1,51000000
Chandigarh,47100000,11,7850000
India,42000000,1,42000000
Taramani,38080000,1,38080000
Surat,36230000,2,36230000
"India / US",30000000,1,30000000
Bhubaneswar,23000000,2,23000000
Burnsville,18000000,1,18000000
USA/India,16600000,1,16600000
Kolkata,15983000,22,1598300
Haryana,15500000,1,15500000
Pune/Seattle,15000000,1,15000000
Udupi,12000000,2,12000000
Vadodara,6774000,10,1129000
Gaya,6000000,1,6000000
Andheri,5750000,1,5750000
Goa,4980000,10,711428.5714285715
Indore,4672000,13,934400
Coimbatore,3957600,5,989400
Karnataka,3584000,1,3584000
Boston,3000000,1,3000000
US/India,3000000,1,3000000
"New York/ India",2950000,1,2950000
Nairobi,2739034.68,1,2739034.68
Rourkela,2500000,1,2500000
Bhopal,2330665,3,776888.3333333334
Lucknow,1000000,1,1000000
"Pune / Dubai",1000000,1,1000000
Gwalior,900000,2,450000
Panaji,825000,1,825000
Udaipur,500000,2,500000
Belgaum,500000,1,500000
Missourie,350000,1,350000
Chembur,319605,1,319605
Amritsar,300000,1,300000
Kanpur,220000,4,110000
Jodhpur,160000,1,160000
Nagpur,143000,3,143000
Trivandrum,100000,2,100000
Varanasi,52000,1,52000
Kerala,27000,1,27000
Srinagar,NULL,1,NULL
"Uttar Pradesh",NULL,1,NULL
Karur,NULL,1,NULL
Kochi,NULL,2,NULL
Agra,NULL,2,NULL
Hubli,NULL,1,NULL
Kozhikode,NULL,1,NULL
US,NULL,1,NULL
Siliguri,NULL,2,NULL
USA,NULL,1,NULL
London,NULL,1,NULL
"Pune / Singapore",NULL,1,NULL
