sector,total_funding,total_deals,average_deal_size
Other,14518285322.68,1741,12624595.932765217
E-Commerce,9713443692.54,332,42979839.347522125
Transportation,4351932394,11,483548043.7777778
Finance,3358049265,82,43611029.415584415
Technology,3200860930,533,9041980.028248588
Healthcare,973129000,108,13706042.253521128
"Food & Beverage",569223195,78,9487053.25
Education,552429065,60,11508938.854166666
Logistics,540700000,67,10814000
Automobile,201000000,5,50250000
"Real Estate",51585000,16,4689545.454545454
Travel,27100000,11,5420000
