sector,years_present,total_funding,average_deal_size,funding_volatility
Transportation,3,4351932394,483548043.7777778,1211441992.7384121
E-Commerce,6,9713443692.54,42979839.347522125,218664914.98867333
Finance,6,3358049265,43611029.415584415,134946599.2680069
Healthcare,5,973129000,13706042.253521128,53994683.13716381
Other,6,14518285322.68,12624595.932765217,44189833.22969933
Automobile,2,201000000,50250000,38661188.54872416
Education,5,552429065,11508938.854166666,35439749.11546725
"Food & Beverage",5,569223195,9487053.25,30546995.20355204
Technology,6,3200860930,9041980.028248588,21924088.504576463
Logistics,5,540700000,10814000,21491932.905162346
"Real Estate",4,51585000,4689545.454545454,6021031.493683942
Travel,1,27100000,5420000,5481021.802547405
